link,type,time_ago,headline,title,description,published_time,modified_time,author,social_media
/news/chris-duncan-knock-them-down-ufc-323,Athletes,13 hours ago,"Chris Duncan | Line Them Up, And I’ll Knock Them Down","Chris Duncan | Line Them Up, And I’ll Knock Them Down","Scottish Lightweight Plans To Gatecrash The Top 15, And Sees Victory At UFC 323 As The Perfect Launchpad For A Big Year In 2026",2025-12-05 10:00:00-06:00,2025-12-05 09:55:00-06:00,Simon Head,simonheadsport
/news/henry-cejudo-triple-c-last-dance-ufc-323,Athletes,14 hours ago,Henry Cejudo | Triple C’s Last Dance,Henry Cejudo | Triple C’s Last Dance,"Former Two-Division Champion On His Nicknames, His Future Plans, And His Final Fight Thoughts Ahead Of UFC 323",2025-12-05 09:00:00-06:00,2025-12-05 08:55:00-06:00,Simon Head,simonheadsport
/news/mansur-abdul-malik-humble-thoughtful-dangerous,Athletes,15 hours ago,"Mansur Abdul-Malik | Humble, Thoughtful, Dangerous","Mansur Abdul-Malik | Humble, Thoughtful, Dangerous","DWCS Grad A Gentleman Outside The Octagon, A Burgeoning Threat Inside",2025-12-05 08:00:00-06:00,2025-12-05 07:55:00-06:00,E. Spencer Kyte,
/news/jan-blachowicz-dont-sleep-polish-power-ufc-323,Athletes,1 day ago,Jan Błachowicz | Don’t Sleep On The ‘Legendary…,Jan Błachowicz | Don’t Sleep On The ‘Legendary Polish Power’,Former UFC Light Heavyweight Champion Wants To Give The MMA World A Timely Reminder Of His Punching Power At UFC 323,2025-12-04 16:23:00-06:00,2025-12-04 16:38:09-06:00,Simon Head,simonheadsport
/news/brandon-moreno-still-prime-ufc-323,Athletes,1 day ago,Brandon Moreno Is Still In His Prime,Brandon Moreno Is Still In His Prime,"Two-Time Former Flyweight Champion Is Still In The Championship Picture at 125 Pounds, And Plans On Making A Statement Against A Rising Star At UFC 323",2025-12-04 15:23:54-06:00,2025-12-04 15:41:20-06:00,Simon Head,simonheadsport
/news/tatsuro-taira-closer-to-dream-ufc-323,Athletes,1 day ago,Tatsuro Taira Is Edging Closer To His Dream,Tatsuro Taira Is Edging Closer To His Dream,"Japanese Flyweight Contender Wants To Bring UFC Gold Back Home, And Knows Victory Over Brandon Moreno at UFC 323 Will Move Him One Step Closer To That Goal",2025-12-04 12:37:33-06:00,2025-12-04 12:52:34-06:00,Simon Head,simonheadsport
/news/maycee-barber-been-too-long-ufc-323,Athletes,1 day ago,Maycee Barber: 'It's Been Too Long',Maycee Barber: 'It's Been Too Long',Flyweight Standout Opens Up About Extended Absence Ahead Of UFC 323 Return,2025-12-04 11:59:32-06:00,2025-12-04 11:49:04-06:00,E. Spencer Kyte,
/news/fares-ziam-growing-serious-threat-ufc-323-lightweight,Athletes,1 day ago,Farès Ziam | Growing Into A Serious Threat,Farès Ziam | Growing Into A Serious Threat,French Lightweight Seeks Sixth Straight Win At UFC 323,2025-12-04 10:00:00-06:00,2025-12-04 10:00:00-06:00,E. Spencer Kyte,spencerkyte
/news/payton-talbott-keeps-taking-chances-bantamweight-ufc-323,Athletes,1 day ago,Payton Talbott Keeps Taking Chances,Payton Talbott Keeps Taking Chances,"Bantamweight Prospect Discusses Lessons Learned, Facing Henry Cejudo At UFC 323",2025-12-04 09:00:00-06:00,2025-12-04 09:00:00-06:00,E. Spencer Kyte,spencerkyte
/news/petr-yans-chance-to-rewrite-the-story-ufc-323,Athletes,1 day ago,Petr Yan’s Chance To Rewrite The Story,Petr Yan’s Chance To Rewrite The Story,Former Bantamweight Champ Looks To Reclaim The Title In A Rematch With Merab Dvalishvili At UFC 323,2025-12-04 08:00:00-06:00,2025-12-04 07:55:00-06:00,Kevin Schuster,
/news/grant-dawson-big-game-hunting-ufc-323,Athletes,2 days ago,Grant Dawson | Big Game Hunting,Grant Dawson | Big Game Hunting,Talented Lightweight Looking To Secure Greater Opportunities With UFC 323 Victory,2025-12-03 13:07:00-06:00,2025-12-03 13:10:59-06:00,E. Spencer Kyte,SpencerKyte
/news/alexandre-pantoja-viva-las-vegas-ufc-323,Athletes,2 days ago,Alexandre Pantoja | Viva Las Vegas,Alexandre Pantoja | Viva Las Vegas,"Flyweight Champ Talks Vegas Successes, State Of The Division, Facing Joshua Van",2025-12-03 11:33:36-06:00,2025-12-03 11:55:33-06:00,E. Spencer Kyte,
/news/merab-dvalishvili-focused-today-already-thinking-about-tomorrow,Athletes,3 days ago,"Merab Dvalishvili | Focused On Today, Already…","Merab Dvalishvili | Focused On Today, Already Thinking About Tomorrow","Bantamweight Champ Ready For Stern Test On Saturday, Lays Out 2026 Plans",2025-12-02 21:07:37-06:00,2025-12-02 21:23:31-06:00,E. Spencer Kyte,
/news/fighters-on-the-rise-ufc-323,Athletes,3 days ago,Fighters on the Rise | UFC 323: Dvalishvili vs Yan 2,Fighters on the Rise | UFC 323: Dvalishvili vs Yan 2,Identifying Three Emerging Talents To Watch This Weekend At T-Mobile Arena,2025-12-02 15:00:00-06:00,2025-12-02 18:11:41-06:00,E. Spencer Kyte,
/news/coach-convo-pantoja-vs-van-co-main-ufc-323,Fight Preview,3 days ago,Coach Conversation | Alexandre Pantoja vs Joshua Van,Coach Conversation | Alexandre Pantoja vs Joshua Van,New England Cartel Leader Tyson Chartier Dissects Saturday’s Flyweight Title Fight At UFC 323: Dvalishvili vs Yan 2,2025-12-02 12:21:03-06:00,2025-12-02 12:50:01-06:00,E. Spencer Kyte,
/news/nazim-sadykhov-the-hard-work-starts-now-ufc-323,Athletes,3 days ago,Nazim Sadykhov | The Hard Work Starts Now,Nazim Sadykhov | The Hard Work Starts Now,"Ascending Lightweight Shares Outlook, Mission Ahead Of UFC 323 This Weekend",2025-12-02 09:00:00-06:00,2025-12-02 09:00:00-06:00,E. Spencer Kyte,spencerkyte
/news/joshua-van-time-to-complete-the-takeover-ufc-323,Athletes,3 days ago,Joshua Van | Time To Complete The Takeover,Joshua Van | Time To Complete The Takeover,"Flyweight Title Challenger Discusses Prophetic Comments, Facing Alexandre Pantoja",2025-12-02 08:00:00-06:00,2025-12-02 08:00:00-06:00,E. Spencer Kyte,spencerkyte
/news/coach-conversation-ufc-323-dvalishvili-vs-yan-2,Fight Coverage,5 days ago,Coach Conversation | UFC 323: Dvalishvili vs Yan 2,Coach Conversation | UFC 323: Dvalishvili vs Yan 2,Standout Striking Coach Sean Madden Helps Break Down Saturday’s Bantamweight Championship Clash,2025-11-30 03:44:51-06:00,2025-11-30 04:01:56-06:00,E. Spencer Kyte,spencerkyte
/news/fight-fight-preview-ufc-323-dvalishvili-vs-yan-2,Fight Coverage,5 days ago,Fight By Fight Preview | UFC 323: Dvalishvili vs Yan…,Fight By Fight Preview | UFC 323: Dvalishvili vs Yan 2,Setting The Stage For The Final Numbered Event Of 2025 This Weekend,2025-11-30 03:19:17-06:00,2025-12-01 16:24:10-06:00,E. Spencer Kyte,spencerkyte
/news/the-10-closing-out-2025-with-a-bang,Fight Coverage,1 week ago,The 10 | Closing Out 2025 With A Bang,The 10 | Closing Out 2025 With A Bang,Detailing The Most Intriguing Pairings Set To Hit The Octagon In December,2025-11-28 17:18:00-06:00,2025-11-28 17:18:22-06:00,E. Spencer Kyte,SpencerKyte
/news/ufc-2025-incredible-year-still-has-more-to-offer,Fight Coverage,1 week ago,UFC 2025 | Incredible Year Still Has More To Offer,UFC 2025 | Incredible Year Still Has More To Offer,"With Two Events Remaining, 2025 Has Already Been A Monumental Year",2025-11-26 11:45:00-06:00,2025-11-26 11:49:52-06:00,E. Spencer Kyte,spencerkyte
/news/louis-jourdain-ready-stand-alongside-his-big-brother-again-dana-white-contender-series,Athletes,1 week ago,Louis Jourdain Ready to Stand Alongside His Big…,Louis Jourdain Ready to Stand Alongside His Big Brother Again,"Dana White’s Contender Series Grad Talks Reaching UFC, Dynamics With Older Brother Charles",2025-11-25 12:50:50-06:00,2025-11-25 13:01:11-06:00,E. Spencer Kyte,spencerkyte
/news/scorecard-ufc-qatar,Athletes,1 week ago,The Scorecard | UFC Qatar,The Scorecard | UFC Qatar,"Take A Look At The Biggest Winners From UFC Fight Night: Tsarukyan vs Hooker, From Ali Bin Hamad Al-Attiyah Arena in Doha, Qatar, On November 22, 2025",2025-11-23 15:06:29-06:00,2025-11-23 15:47:09-06:00,Simon Head,simonheadsport
/news/bonus-coverage-2025-performance-fight-of-the-night,Results,1 week ago,Bonus Coverage | UFC Qatar: Tsarukyan vs Hooker,Bonus Coverage | UFC Qatar: Tsarukyan vs Hooker,"The Fights & Performances That Warranted An Extra $50,000 In 2025",2025-11-22 16:01:00-06:00,2025-11-24 10:23:18-06:00,UFC Staff Report,
/news/ufc-qatar-main-card-results-ufc-fight-night-tsarukyan-vs-hooker-event-tonight-recaps-highlights-interviews,Results,1 week ago,Main Card Results | UFC Qatar,Main Card Results | UFC Qatar,"Get Live Results, Watch Post-Fight Interviews With The Main Card Winners And More From UFC Fight Night: Tsarukyan vs Hooker, Live From ABHA Arena in Doha, Qatar On November 22",2025-11-22 14:44:00-06:00,2025-11-22 15:34:06-06:00,E. Spencer Kyte,SpencerKyte
/news/ufc-qatar-prelim-results-ufc-fight-night-tsarukyan-vs-hooker-event-tonight-recaps-highlights-interviews,Results,1 week ago,Prelim Results | UFC Qatar,Prelim Results | UFC Qatar,"Get Live Results, Watch Post-Fight Interviews With The Prelim Winners And More From UFC Fight Night: Tsarukyan vs Hooker, Live From ABHA Arena in Doha, Qatar On November 22",2025-11-22 10:07:01-06:00,2025-11-22 12:33:21-06:00,E. Spencer Kyte,SpencerKyte
/news/arman-tsarukyan-has-gold-on-his-mind-in-doha-ufc-qatar,Athletes,2 weeks ago,Arman Tsarukyan Has Gold On His Mind In Doha,Arman Tsarukyan Has Gold On His Mind In Doha,"Ahead Of His First Fight Since April 2024, Arman Tsarukyan Believes He Can Earn A Shot At The Lightweight Title With A Stylish Win Over Dan Hooker",2025-11-21 09:30:00-06:00,2025-11-21 09:25:00-06:00,Zac Pacleb,
/news/nicolas-dalby-experience-is-key-ufc-qatar,Athletes,2 weeks ago,Nicolas Dalby | Experience Is Key,Nicolas Dalby | Experience Is Key,"Danish Welterweight May Be In The Veteran Stage Of His Career, But He's Never Stopped His Quest For Improvement",2025-11-21 09:00:00-06:00,2025-11-21 08:55:00-06:00,Simon Head,simonheadsport
/news/volkan-oezdemir-no-time-like-present-ufc-qatar,Athletes,2 weeks ago,Volkan Oezdemir | 'No Time' Like The Present,Volkan Oezdemir | 'No Time' Like The Present,Veteran Light Heavyweight Contender Plans On Igniting Another Run Towards Title Contention At 205 Pounds,2025-11-21 07:10:33-06:00,2025-11-21 06:55:00-06:00,Simon Head,simonheadsport
/news/kyoji-horiguchi-one-step-at-a-time-ufc-qatar,Athletes,2 weeks ago,Kyoji Horiguchi | One Step At A Time,Kyoji Horiguchi | One Step At A Time,"Returning Japanese Standout Focused Exclusively On Task At Hand, For Now",2025-11-20 16:10:00-06:00,2025-11-21 08:00:00-06:00,E. Spencer Kyte,SpencerKyte
