index,type,time_ago,title,link
0,Fight Coverage,2 hours ago,Press Conference Highlights | Canelo vs Crawford,https://www.ufc.com/video/150879
1,Athletes,2 hours ago,Alexander Hernandez Feels Like He Has Nothing To Lose,https://www.ufc.com/news/alexander-hernandez-feels-like-he-has-nothing-to-lose-noche-ufc
2,Athletes,2 hours ago,Tatiana Suarez Is Ready To Show Her Best Self,https://www.ufc.com/news/tatiana-suarez-is-ready-to-show-her-best-self-noche-ufc
3,Fight Coverage,6 hours ago,Pre-Fight Press Conference | Canelo vs Crawford,https://www.ufc.com/video/150864
4,Licensed,7 hours ago,Discover The Latest Noche UFC Merch &amp; Gear Up for…,https://www.ufc.com/news/discover-latest-noche-ufc-merch-gear-saturday
5,Announcements,9 hours ago,UFC And Fight.ID Team Up To Unite MMA And Web3…,https://www.ufc.com/news/ufc-and-fightid-team-unite-mma-and-web3-communities
6,Podcast,10 hours ago,"Unfiltered | Rob Font, Tatiana Suarez, Noche UFC…",https://www.ufc.com/video/150874
7,Fight Coverage,10 hours ago,Main Event Preview | Canelo vs Crawford,https://www.ufc.com/video/150871
8,Embedded,11 hours ago,Canelo vs Crawford Embedded | Episode 4,https://www.ufc.com/video/150870
9,Fight Pass Preview,1 day ago,Full Steam Ahead For Gable Steveson | UFC Fight Pass,https://www.ufc.com/news/full-steam-ahead-gable-steveson-ufc-fight-pass
10,Athletes,1 day ago,Dustin Stoltzfus: 'It's Now Or Never',https://www.ufc.com/news/dustin-stoltzfus-its-now-or-never-noche-ufc
11,Zuffa Boxing,1 day ago,Fernando Vargas Jr. Here To Shock The World | Canelo…,https://www.ufc.com/news/fernando-vargas-jr-here-shock-world-canelo-vs-crawford
12,Athletes,1 day ago,Diego Lopes Knows He Is A High-Level Fighter,https://www.ufc.com/news/diego-lopes-knows-he-is-a-high-level-fighter-noche-ufc
13,Interviews,1 day ago,Rafa Garcia Fight Week Interview | Noche UFC,https://www.ufc.com/video/150851
14,Athletes,1 day ago,"Zachary Reese | All Gas, No Brakes",https://www.ufc.com/news/zachary-reese-all-gas-no-brakes-noche-ufc
15,Interviews,1 day ago,Tatiana Suarez Fight Week Interview | Noche UFC,https://www.ufc.com/video/150852
16,Embedded,1 day ago,Canelo vs Crawford Embedded | Episode 3,https://www.ufc.com/video/150849
17,Noche UFC,1 day ago,Fight Week Focus | Noche UFC,https://www.ufc.com/video/150846
18,Interviews,1 day ago,Alice Pereira Fight Week Interview | Noche UFC,https://www.ufc.com/video/150844
19,Interviews,1 day ago,Jean Silva Fight Week Interview | Noche UFC,https://www.ufc.com/video/150841
20,Noche UFC,1 day ago,Best Noche UFC Fights Of All Time,https://www.ufc.com/video/150843
21,Interviews,1 day ago,Amanda Lemos Fight Week Interview | Noche UFC,https://www.ufc.com/video/150840
22,Athletes,1 day ago,Representing Mexico | Noche UFC,https://www.ufc.com/news/representing-mexico-noche-ufc-lopes-vs-silva-san-antonio
23,Athletes,1 day ago,Rob Font Remains Ready For The Unexpected,https://www.ufc.com/news/rob-font-remains-ready-for-the-unexpected-noche-ufc
24,Zuffa Boxing,1 day ago,Christian Mbilli Born For This | Canelo vs Crawford,https://www.ufc.com/news/christian-mbilli-born-canelo-vs-crawford
25,Dana White's Contender Series,1 day ago,Contract Winners And Interviews | Dana White’s…,https://www.ufc.com/video/150834
26,Interviews,1 day ago,Terence Crawford Fight Week Interview | Canelo vs…,https://www.ufc.com/video/150832
27,Dana White's Contender Series,1 day ago,Post-Fight Press Conference | Dana White's Contender…,https://www.ufc.com/video/150817
28,Zuffa Boxing,1 day ago,Jermaine Franklin Jr. Wants To Win At All Costs |…,https://www.ufc.com/news/jermaine-franklin-wants-to-win-at-all-costs-canelo-vs-crawford
29,Interviews,1 day ago,Brandon Adams Fight Week Interview | Canelo vs…,https://www.ufc.com/video/150831
30,Interviews,2 days ago,Serhii Bohachuk Fight Week Interview | Canelo vs…,https://www.ufc.com/video/150830
31,Interviews,1 day ago,Callum Walsh Fight Week Interview | Canelo vs…,https://www.ufc.com/video/150829
32,Interviews,2 days ago,Fernando Vargas Jr. Fight Week Interview | Canelo vs…,https://www.ufc.com/video/150828
33,Interviews,1 day ago,Jermaine Franklin Jr. Fight Week Interview | Canelo…,https://www.ufc.com/video/150827
34,Results,1 day ago,Week 5 Results + Scorecards | Dana White's Contender…,https://www.ufc.com/news/week-5-results-scorecards-fight-recaps-contract-winners-interviews-dana-whites-contender-series-season-9
35,Interviews,1 day ago,Christian Mbilli Fight Week Interview | Canelo vs…,https://www.ufc.com/video/150826
