name,gender
Rafael Natal,man
Taila Santos,woman
Deiveson Figueiredo,man
Sean Strickland,man
Rashad Evans,man
Benoit Saint Denis,man
Chuck Liddell,man
Forrest Griffin,man
Val Woodburn,man
Andreas Michailidis,man
Neil Magny,man
Thiago Moises,man
Drakkar Klose,man
Sam Alvey,man
Derek Brunson,man
Maycee Barber,woman
Louis Smolka,man
Jacare Souza,man
Jared Cannonier,man
Andrea Lee,woman
Miranda Maverick,woman
Nassourdine Imavov,man
Ronda Rousey,woman
Max Holloway,man
Tracy Cortez,woman
Marcus Brimage,man
Marion Reneau,woman
Dricus Du Plessis,man
Song Yadong,man
Stephan Bonnar,man
Rob Font,man
Mark Hunt,man
Walt Harris,man
Michael Bisping,man
Joseph Benavidez,man
Kamaru Usman,man
Rose Namajunas,woman
Tatsuro Taira,man
Chris Clements,man
Justin Gaethje,man
Cory Sandhagen,man
Sheldon Westcott,man
Renato Moicano,man
Jon Jones,man
Manel Kape,man
Pedro Munhoz,man
Kevin Holland,man
Katlyn Cerminara,woman
Clint Hester,man
Amanda Ribas,woman
Jake Shields,man
Khamzat Chimaev,man
Alexandre Pantoja,man
Ilia Topuria,man
Frank Mir,man
Kai Asakura,man
Pete Sell,man
Chris Leben,man
Christos Giagos,man
Valentina Shevchenko,woman
Dominick Cruz,man
Dan Hooker,man
Zhang Weili,woman
Brandon Moreno,man
Joel Alvarez,man
Ken Shamrock,man
Alexa Grasso,woman
Viviane Araujo,woman
Ian McCall,man
Raquel Pennington,woman
Merab Dvalishvili,man
Jasmine Jasudavicius,woman
Dustin Poirier,man
Antonio Rogerio Nogueira,man
Jonathan Martinez,man
Kayla Harrison,woman
Holly Holm,woman
Michael Chandler,man
Erin Blanchfield,woman
Jose Aldo,man
Aiemann Zahabi,man
Benson Henderson,man
Chris Weidman,man
Mario Bautista,man
Alex Pereira,man
Mayra Bueno Silva,woman
Charles Oliveira,man
Adam Fugitt,man
Lyoto Machida,man
Matt Serra,man
Rafael Fiziev,man
Bo Nickal,man
Robert Whittaker,man
Manon Fiorot,woman
Ryan Jimmo,man
Umar Nurmagomedov,man
Rich Franklin,man
Ricky Simon,man
Jalin Turner,man
Sergio Pettis,man
Glover Teixeira,man
Amanda Nunes,woman
John Makdessi,man
Jeremy Stephens,man
Jake Matthews,man
Randy Couture,man
Manuel Torres,man
Daniel Cormier,man
Islam Makhachev,man
Kelvin Gastelum,man
Dave Menne,man
Arman Tsarukyan,man
Anthony Perosh,man
Abus Magomedov,man
Brandon Royval,man
Jessica Andrade,woman
Nate Quarry,man
Gil Castillo,man
Leon Edwards,man
Anderson Silva,man
Ignacio Bahamondes,man
Israel Adesanya,man
Michel Pereira,man
Natalia Silva,woman
Minotauro Nogueira,man
Cody Garbrandt,man
Jack Della Maddalena,man
Dricus du Plessis,man
Kyoji Horiguchi,man
Steve Erceg,man
Sean Brady,man
Jumabieke Tuerxun,man
Petr Yan,man
Brad Tavares,man
Marlon Vera,man
Jamahal Hill,man
Vladimir Matyushenko,man
Gilbert Burns,man
Magomed Ankalaev,man
Ketlen Vieira,woman
Gerald Meerschaert,man
Michael Morales,man
Dooho Choi,man
Elias Theodorou,man
Alexander Volkanovski,man
Paul Craig,man
Belal Muhammad,man
Cub Swanson,man
Yoel Romero,man
Mark Hominick,man
Shonie Carter,man
TJ Dillashaw,man
Joaquin Buckley,man
Anthony Smith,man
Al Iaquinta,man
Dione Barbosa,woman
Alexander Gustafsson,man
Jason Brilz,man
Luke Rockhold,man
Demetrious Johnson,man
Javid Basharat,man
Pablo Garza,man
Ross Pearson,man
Cain Velasquez,man
Tito Ortiz,man
Tatiana Suarez,woman
Irene Aldana,woman
Jiri Prochazka,man
Mateusz Gamrot,man
Tristan Connelly,man
Lodune Sincaid,man
