name,gender
Azamat Murzakanov,man
Magomed Ankalaev,man
Norma Dumont,woman
Jared Gordon,man
Michael Morales,man
Khamzat Chimaev,man
Edson Barboza,man
Austin Vanderford,man
Serghei Spivac,man
Rhys McKee,man
Azat Maksum,man
Michael Chiesa,man
Jacqueline Cavalcanti,woman
Randy Brown,man
Steve Garcia,man
Zhang Weili,woman
Hyder Amil,man
Mitch Raposo,man
Roberto Romero,man
Melissa Martinez,woman
Yadier del Valle,man
Karol Rosa,woman
Garrett Armfield,man
Aleksandar Rakic,man
Conor McGregor,man
Stephen Thompson,man
Deiveson Figueiredo,man
Kyoji Horiguchi,man
Billy Elekana,man
Felice Herrig,woman
Mateusz Gamrot,man
Josh Hokit,man
Pete Rodriguez,man
Francis Marshall,man
Khaos Williams,man
Ryan Spann,man
Daniel Marcos,man
Bruna Brasil,woman
Rafael Fiziev,man
Montel Jackson,man
Chris Padilla,man
Gabriel Benitez,man
Joanna Jedrzejczyk,woman
Torrez Finney,man
Tresean Gore,man
Yorgan De Castro,man
Talita Alencar,woman
Aspen Ladd,woman
Tainara Lisboa,woman
Song Kenan,man
Serhiy Sidey,man
Zach Reese,man
Manon Fiorot,woman
Quillan Salkilld,man
Shauna Bannon,woman
Carlos Leal,man
Jiri Prochazka,man
Esteban Ribovics,man
Neil Magny,man
Brunno Ferreira,man
Irene Aldana,woman
Ikram Aliskerov,man
Mohammed Usman,man
Yousri Belgaroui,man
Andrei Arlovski,man
Viviane Araujo,woman
Nazim Sadykhov,man
Robert Whittaker,man
Tabatha Ricci,woman
Christian Leroy Duncan,man
Chris Gutierrez,man
Jon Jones,man
Ariane Carnelossi,woman
Ilia Topuria,man
Joshua Van,man
Tatiana Suarez,woman
Merab Dvalishvili,man
Nate Landwehr,man
Vicente Luque,man
Gilbert Burns,man
Christian Rodriguez,man
Nikolay Veretennikov,man
Donte Johnson,man
Jafel Filho,man
Kennedy Nzechukwu,man
Mauricio Ruffy,man
Valentina Shevchenko,woman
Fatima Kline,woman
Curtis Blaydes,man
Ramiz Brahimaj,man
William Gomis,man
Erin Blanchfield,woman
Jonathan Martinez,man
Yan Xiaonan,woman
Sergei Pavlovich,man
Derrick Lewis,man
Josh Emmett,man
Manel Kape,man
Victor Henry,man
Gabriel Bonfim,man
Andre Muniz,man
Michal Oleksiejczuk,man
Mackenzie Dern,woman
Nick Klein,man
Piera Rodriguez,woman
Holly Holm,woman
Jean Matsumoto,man
Isaac Dulgarian,man
Aiemann Zahabi,man
Payton Talbott,man
Chris Barnett,man
Shavkat Rakhmonov,man
Jorge Masvidal,man
Andre Lima,man
Edmen Shahbazyan,man
Connor Matthews,man
David Martinez,man
Dustin Poirier,man
Belal Muhammad,man
Jairzinho Rozenstruik,man
Max Holloway,man
Eryk Anders,man
Ricardo Ramos,man
Paige VanZant,woman
Matt Schnell,man
Maycee Barber,woman
Cody Garbrandt,man
Yanal Ashmouz,man
Chris Duncan,man
Sedriques Dumas,man
Tecia Pennington,woman
Tim Elliott,man
Miesha Tate,woman
Islam Makhachev,man
David Onama,man
